,GroupNumber,GroupType,LexiconType,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,SegmentedLabel,Exclude_Eng_non.ID,Exclude_Non.Eng,Exclude_other,Array1,Array2,Array3,Array4,Array5,Array6,Selected,Score,Time,Trial_Iteration,Transmitter,Pair,Unique_Participant,New_Redup_B,Exclude_ID,Adj_V,Adj_N,Non_Adj_V,Non_Adj_N,Consonant_redup_V,Consonant_redup_N,Consonant_N,Vowel_redup_V,Vowel_redup_N,Vowel_N,Syllable_N,Exclude_relevant,Adj_B,Non_Adj_B,Exclude_Eng_ID,SyllableRepetition,ConsonantRepetition
40,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,4,2001,NA,peku,"('pe', 'ku')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,26:27.0,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
41,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,5,1008,NA,wakaki,"('wa', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,26:47.0,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,0.5,1,3,0.5,1,3,3,0,0,0,NA,0,1
42,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,6,2054,NA,kako,"('ka', 'ko')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,27:17.1,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,1,1,2,0,0,2,2,0,0,0,NA,0,1
43,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,7,2027,NA,wiwa,"('wi', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,27:40.2,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,1,1,2,0,0,2,2,0,0,0,NA,0,1
44,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,8,2025,NA,kikaki,"('ki', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,28:08.8,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,1,1,1,2,3,0.5,1,3,3,0,0,1,NA,0,1
45,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,9,2057,NA,kopekawi,"('ko', 'pek', 'a', 'wi')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,28:41.6,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0.333,1,4,0,0,4,4,0,0,0,NA,0,0
46,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,10,2030,NA,kakaki,"('ka', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,29:02.3,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,1,2,3,0.5,1,3,3,0,1,0,NA,1,1
47,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,11,2029,NA,kopekawi,"('ko', 'pek', 'a', 'wi')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,29:34.4,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0.333,1,4,0,0,4,4,0,0,0,NA,0,0
48,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,12,2017,NA,kiwa,"('ki', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,29:59.4,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
49,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,13,2016,NA,wiwakako,"('wiw', 'ak', 'a', 'ko')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,30:33.6,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,0.667,2,4,0.333,1,4,4,0,0,0,NA,1,1
